"","Var1","Var2","Freq","habitat_type"
"59","","   avg_temp","3rd Qu.:18.75  ","forest"
"60","","   avg_temp","Max.   :25.20  ","forest"
"61","","precipitation","Min.   : 41.80  ","forest"
"62","","precipitation","1st Qu.: 66.70  ","forest"
"63","","precipitation","Median : 80.80  ","forest"
"64","","precipitation","Mean   : 78.89  ","forest"
"65","","precipitation","3rd Qu.: 89.40  ","forest"
"66","","precipitation","Max.   :120.40  ","forest"
"67","","vegetation_index","Min.   :0.200  ","forest"
"68","","vegetation_index","1st Qu.:0.320  ","forest"
"69","","vegetation_index","Median :0.550  ","forest"
"70","","vegetation_index","Mean   :0.540  ","forest"
"71","","vegetation_index","3rd Qu.:0.755  ","forest"
"72","","vegetation_index","Max.   :0.890  ","forest"
"73",""," noise_level","Min.   :22.10  ","forest"
"74",""," noise_level","1st Qu.:37.10  ","forest"
"75",""," noise_level","Median :42.30  ","forest"
"76",""," noise_level","Mean   :43.01  ","forest"
"77",""," noise_level","3rd Qu.:50.25  ","forest"
"78",""," noise_level","Max.   :62.30  ","forest"
"79",""," num_species","Min.   :12.00  ","forest"
"80",""," num_species","1st Qu.:25.00  ","forest"
"81",""," num_species","Median :42.00  ","forest"
"82",""," num_species","Mean   :40.53  ","forest"
"83",""," num_species","3rd Qu.:55.50  ","forest"
"84",""," num_species","Max.   :76.00  ","forest"
"85","","  site_id","Length:34         ","grassland"
"86","","  site_id","Class :character  ","grassland"
"87","","  site_id","Mode  :character  ","grassland"
"88","","  site_id",NA,"grassland"
"89","","  site_id",NA,"grassland"
"90","","  site_id",NA,"grassland"
"91","","habitat_type","Length:34         ","grassland"
"92","","habitat_type","Class :character  ","grassland"
"93","","habitat_type","Mode  :character  ","grassland"
"94","","habitat_type",NA,"grassland"
"95","","habitat_type",NA,"grassland"
"96","","habitat_type",NA,"grassland"
"97","","   avg_temp","Min.   : 4.90  ","grassland"
"98","","   avg_temp","1st Qu.:10.65  ","grassland"
"99","","   avg_temp","Median :14.60  ","grassland"
"100","","   avg_temp","Mean   :13.79  ","grassland"
"101","","   avg_temp","3rd Qu.:16.73  ","grassland"
"102","","   avg_temp","Max.   :25.20  ","grassland"
"103","","precipitation","Min.   : 36.20  ","grassland"
"104","","precipitation","1st Qu.: 68.78  ","grassland"
"105","","precipitation","Median : 77.50  ","grassland"
"106","","precipitation","Mean   : 80.36  ","grassland"
"107","","precipitation","3rd Qu.: 94.17  ","grassland"
"108","","precipitation","Max.   :139.30  ","grassland"
"109","","vegetation_index","Min.   :0.2200  ","grassland"
"110","","vegetation_index","1st Qu.:0.3250  ","grassland"
"111","","vegetation_index","Median :0.4800  ","grassland"
"112","","vegetation_index","Mean   :0.4935  ","grassland"
"113","","vegetation_index","3rd Qu.:0.6800  ","grassland"
"114","","vegetation_index","Max.   :0.8600  ","grassland"
"115",""," noise_level","Min.   :26.30  ","grassland"
"116",""," noise_level","1st Qu.:39.70  ","grassland"
"117",""," noise_level","Median :46.95  ","grassland"
"118",""," noise_level","Mean   :46.07  ","grassland"
"119",""," noise_level","3rd Qu.:51.10  ","grassland"
"120",""," noise_level","Max.   :67.20  ","grassland"
"121",""," num_species","Min.   : 7.00  ","grassland"
"122",""," num_species","1st Qu.:22.75  ","grassland"
"123",""," num_species","Median :36.50  ","grassland"
"124",""," num_species","Mean   :36.00  ","grassland"
"125",""," num_species","3rd Qu.:51.75  ","grassland"
"126",""," num_species","Max.   :65.00  ","grassland"
"127","","  site_id","Length:50         ","urban"
"128","","  site_id","Class :character  ","urban"
"129","","  site_id","Mode  :character  ","urban"
"130","","  site_id",NA,"urban"
"131","","  site_id",NA,"urban"
"132","","  site_id",NA,"urban"
"133","","habitat_type","Length:50         ","urban"
"134","","habitat_type","Class :character  ","urban"
"135","","habitat_type","Mode  :character  ","urban"
"136","","habitat_type",NA,"urban"
"137","","habitat_type",NA,"urban"
"138","","habitat_type",NA,"urban"
"139","","   avg_temp","Min.   : 6.90  ","urban"
"140","","   avg_temp","1st Qu.:12.70  ","urban"
"141","","   avg_temp","Median :15.10  ","urban"
"142","","   avg_temp","Mean   :15.53  ","urban"
"143","","   avg_temp","3rd Qu.:17.88  ","urban"
"144","","   avg_temp","Max.   :28.50  ","urban"
"145","","precipitation","Min.   : 38.60  ","urban"
"146","","precipitation","1st Qu.: 68.03  ","urban"
"147","","precipitation","Median : 79.55  ","urban"
"148","","precipitation","Mean   : 80.46  ","urban"
"149","","precipitation","3rd Qu.: 91.28  ","urban"
"150","","precipitation","Max.   :128.40  ","urban"
"151","","vegetation_index","Min.   :0.2100  ","urban"
"152","","vegetation_index","1st Qu.:0.3400  ","urban"
"153","","vegetation_index","Median :0.5700  ","urban"
"154","","vegetation_index","Mean   :0.5432  ","urban"
"155","","vegetation_index","3rd Qu.:0.7500  ","urban"
"156","","vegetation_index","Max.   :0.9000  ","urban"
"157",""," noise_level","Min.   :14.80  ","urban"
"158",""," noise_level","1st Qu.:35.83  ","urban"
"159",""," noise_level","Median :42.90  ","urban"
"160",""," noise_level","Mean   :42.49  ","urban"
"161",""," noise_level","3rd Qu.:48.75  ","urban"
"162",""," noise_level","Max.   :60.60  ","urban"
"163",""," num_species","Min.   : 8.00  ","urban"
"164",""," num_species","1st Qu.:24.25  ","urban"
"165",""," num_species","Median :41.00  ","urban"
"166",""," num_species","Mean   :40.92  ","urban"
"167",""," num_species","3rd Qu.:57.75  ","urban"
"168",""," num_species","Max.   :68.00  ","urban"
